id,club,league,lat,lon,address,website
97,Birmingham Moseley Women,NC1 Midlands West,52.42802527,-1.875018648,"Billesley Common, Yardley Wood Rd, Birmingham B13 0PT",http://www.moseleyrugby.co.uk/
98,Aston Old Edwardians Women,NC1 Midlands West,52.5377307,-1.874846487,"Sunnybank Ave, Birmingham B44 0HP",https://www.pitchero.com/clubs/astonoldedwardians/
99,Lichfield Ladies II,NC1 Midlands West,52.67184518,-1.798122189,"Cooke Fields, Tamworth Rd, Lichfield WS14 9JE",NA
100,Bournville Womens,NC1 Midlands West,52.47565234,-1.963674731,"79 Sandon Rd, Birmingham B17 8DT",http://www.bournvillerfc.co.uk/
101,Coalville Ladies,NC1 Midlands West,52.72627647,-1.34844436,"Hall Ln, Whitwick, Coalville LE67 5PF",http://www.pitchero.com/clubs/coalville/
102,Old Leamingtonians Ladies,NC1 Midlands West,52.32016439,-1.533506487,"Bericote Road, Blackdown, Royal Leamington Spa CV32 6QP",https://www.pitchero.com/clubs/oldleamingtonians/
103,Derby Women,NC1 Midlands West,52.94230291,-1.471741102,"Rugby Active at Derby Rugby Club, 8 Haslams Ln, Derby DE22 1EB",http://www.derbyrfc.co.uk/
104,Handsworth Ladies,NC1 Midlands West,52.56413257,-1.94840426,"450 Birmingham Rd, Walsall WS5 3JP",https://handsworthrufc.rfu.club/
105,Cheltenham Tigers Women,Championship North 1,51.93169176,-2.064813802,"Newlands Park Sports & Social Venue, Southam Ln, Southam, Cheltenham GL52 3PE",http://www.cheltenhamtigers.com/
106,Sale FC 1861 Women,Championship North 1,53.4165255,-2.321740273,Corpacq Stadium Heywood Road Brooklands Sale Cheshire M33 3WB United Kingdom,http://www.salefc.com/
107,West Park Leeds Women,Championship North 1,53.87610035,-1.604716045,"The Sycamores, Bramhope, Leeds LS16 9JR",http://www.westparkleeds.com/
108,Buckingham Swans Ladies,Championship North 1,52.01232815,-0.978906,"Floyd Field, Maids Moreton, Buckingham MK18 1RF",https://www.pitchero.com/clubs/buckingham/
109,Bury St Edmunds Women,Championship North 1,52.23666591,0.72754954,"The GK IPA Haberden, Southgate Grn, Bury Saint Edmunds IP33 2BL",https://www.pitchero.com/clubs/burystedmunds
110,Lichfield Ladies,Championship North 1,52.67181265,-1.798090002,"Cooke Fields, Tamworth Rd, Lichfield WS14 9JE",NA
111,Kenilworth Women,Championship North 1,52.33658638,-1.56059646,"Glasshouse Lane, The Jack Davies Memorial Ground, Glasshouse Ln, Kenilworth CV8 2AJ",http://www.kenilworthrugby.co.uk/
